Name (NA),Frequency (MHz) (NA),Port (Mandatory) 1p11/2p11/2p12/2p22,Number (NA),Width (NB) (Mandatory),Depth (NW) (Mandatory),Total (KB) (NA),SW (Bit Write) (Mandatory),Column Mux (Optional),Bank (Optional),Center Decoder (Optional),Redundancy (Mandatory),BIST Interface (Mandatory),Dual Rail (Mandatory),Power Gating (Mandatory),periphery_Vt (Optional),read_assist (Mandatory),write_assist (Mandatory),pvt_enable
u_tlb_dram_way2_ram,1200,1p11,,27,256,,0,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,{ 19 20 22 }
u_tlb_tram_way3_ram,1200,1p11,,39,256,,0,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,{ 19 20 22 }
u_tlb_dram_way3_ram,1200,1p11,,27,256,,0,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,{ 19 20 22 }
